LINEA;CAF;NOMBRE MOMENTANEO;CIUDAD;DEPARTAMENTO;FO DIA ACTUAL;ÁREA TOTAL;AREA REQUERIDA;ÁREA SALA DE ESPERA;Sala Espera;ÁREA ALMACENAMIENTO;No CAJAS;Modulos Front - Hoy;No CAJAS HOLGURA;CAPACIDAD SALA DE ESPERA;Sillas;CANON;CANON X FO;CANON X M2;CONSORCIO;CAPACIDAD;HOLGURA
AMB;CAF 4;LISBOA (APERTURA);BOGOTA;CUNDINAMARCA;2287;454;341,36;146;186,62;263;18;14;0;126;188; $ 29.233.514 ; $ 12.781 ; $ 64.391 ;NO;1800;-487
AMB;CAF 5;PATIA;SOLEDAD;ATLANTICO;2004;508;366,79;198,5;207,27;187,64;15;16;4;140;209; $ 24.227.536 ; $ 12.089 ; $ 47.692 ;NO;1500;-504
AMB;CAF 6;SAF EL ENCANTO ;BOGOTA;CUNDINAMARCA;1573;617,39;382,02;161,91;219,65;253;19;17;0;76;222; $ -   ; $ -   ; $ -   ;SI;1900;327
AMB;CAF 7;POLICLINICO;CARTAGENA;BOLIVAR;1985;209;342,82;113;187,80;87,3;13;15;0;76;189; $ 15.541.658 ; $ 7.828 ; $ 74.362 ;NO;1300;-685
AMB;CAF 8;CALLE 30;SOACHA;CUNDINAMARCA;1980;218,93;282,75;89,03;161,23;107,34;14;14;0;69;69; $ 28.762.401 ; $ 14.529 ; $ 131.377 ;NO;1400;-580
AMB;CAF 9;NOVA;VALLEDUPAR;CESAR;1674;362,5;298,80;115,3;152,04;148;11;12;2;94;152; $ 28.724.265 ; $ 17.158 ; $ 79.239 ;NO;1100;-574
AMB;CAF 10;LA HEROICA;MEDELLIN;ANTIOQUIA;0;145;360,52;37,36;202,18;101,8;9;9;0;25;204; $ 20.402.898 ; $ -   ; $ 140.710 ;NO;900;900
AMB;CAF 11;SOACHA;CARTAGENA;BOLIVAR;1663;166;354,92;45,13;197,63;80,4;8;15;0;36;199; $ 6.090.816 ; $ 3.663 ; $ 36.692 ;NO;800;-863
AMB;CAF 12;CENTRO LOPERENA;BOGOTA;CUNDINAMARCA;2005;357;332,18;196,01;179,16;100,79;13;13;0;176;44; $ 13.498.754 ; $ 6.733 ; $ 37.812 ;NO;1300;-705
AMB;CAF 13;CENTRO MEDELLIN;BARRANQUILLA;ATLANTICO;1382;248;362,64;95,7;203,91;113,53;11;16;0;88;206; $ 8.683.650 ; $ 6.281 ; $ 35.015 ;NO;1100;-282
AMB;CAF 14;PROVIDENCIA;MEDELLIN;ANTIOQUIA;1683;341,9;260,23;144,62;83,24;172,11;16;6;0;104;81; $ 6.947.200 ; $ 4.128 ; $ 20.319 ;NO;1600;-83
AMB;CAF 15;PLAZA DE LAS AMERICAS (SAO);IBAGUE;TOLIMA;1485;353,13;333,19;103,13;179,97;180,44;16;18;2;104;181; $ 12.603.563 ; $ 8.488 ; $ 35.691 ;NO;1600;115
